"","Marca temporal","Fecha","Titular","Enlace","Horario","Duración","Analista","Tipo_noticiero","Noticiero","Nivel_gobierno","Organización","Tendencia","id"
"540",2022-06-03 21:33:22,2022-06-03,"Alcaldesa de León invita a las mujeres a poner un alto a cualquier tipo de violencia que vivan.","https://drive.google.com/file/d/1W-qtC5BsWEy921p1Ec19SLXHzeaxVcrb/view?usp=sharing","Vespertino",00:00:56,"Azucena","Radio","Blu fm","municipios","leon",NA,2022-06-03 21:33:22
"541",2022-06-03 21:34:16,2022-06-03,"La SSG apostara por tener cada vez más espacios libres de humo de tabaco lo dio a conocer el secretario de salud de Gto Daniel Díaz.","https://drive.google.com/file/d/13nsYLBLAjUmVsfmF4oaA1t5DTsbD8YDi/view?usp=sharing","Vespertino",00:02:55,"Azucena","Radio","Blu fm","gobierno estatal","ssg",NA,2022-06-03 21:34:16
"542",2022-06-03 21:36:42,2022-06-03,"La UG firmó un convenio con la SSP del estado con la secretaría de gobierno y con mpios para mejorar la seguridad.","https://drive.google.com/file/d/1hEnuQLSxDpQlYxg6NK2as-uBeVc9Toc2/view?usp=sharing","Vespertino",00:01:49,"Azucena","Radio","Blu fm","gobierno estatal","ssp",NA,2022-06-03 21:36:42
"543",2022-06-03 21:36:42,2022-06-03,"La UG firmó un convenio con la SSP del estado con la secretaría de gobierno y con mpios para mejorar la seguridad.","https://drive.google.com/file/d/1hEnuQLSxDpQlYxg6NK2as-uBeVc9Toc2/view?usp=sharing","Vespertino",00:01:49,"Azucena","Radio","Blu fm","gobierno estatal"," ug",NA,2022-06-03 21:36:42
"544",2022-06-03 21:36:42,2022-06-03,"La UG firmó un convenio con la SSP del estado con la secretaría de gobierno y con mpios para mejorar la seguridad.","https://drive.google.com/file/d/1hEnuQLSxDpQlYxg6NK2as-uBeVc9Toc2/view?usp=sharing","Vespertino",00:01:49,"Azucena","Radio","Blu fm"," organismos autonomos","ssp",NA,2022-06-03 21:36:42
"545",2022-06-03 21:36:42,2022-06-03,"La UG firmó un convenio con la SSP del estado con la secretaría de gobierno y con mpios para mejorar la seguridad.","https://drive.google.com/file/d/1hEnuQLSxDpQlYxg6NK2as-uBeVc9Toc2/view?usp=sharing","Vespertino",00:01:49,"Azucena","Radio","Blu fm"," organismos autonomos"," ug",NA,2022-06-03 21:36:42
"546",2022-06-03 21:37:35,2022-06-03,"Tequilares en Jalisco no comprarán agave clandestino de Pénjamo; gobernador DSRV.","https://drive.google.com/file/d/15FLbAYM0Ofe0hFjjiyrdhywOo6zUCkVW/view?usp=sharing","Vespertino",00:01:22,"Azucena","Radio","Blu fm","gobierno estatal","gobernador",NA,2022-06-03 21:37:35
"547",2022-06-03 21:38:40,2022-06-03,"En un par de semanas el gobierno local de León definirá si va a contratar deuda o no y en qué proyecto se va a aplicar el recurso.","https://drive.google.com/file/d/1mrVaGxBx-EZDEvxG2NawCyg6GXZYFztv/view?usp=sharing","Vespertino",00:01:24,"Azucena","Radio","Blu fm","municipios","leon",NA,2022-06-03 21:38:40
"548",2022-06-03 21:39:54,2022-06-03,"La alcaldesa Alejandra Gutiérrez afirmó que estarán siguiendo los recursos para que el tema de observaciones hechas a la academia metropolitana quede aclarado con la autoridad fiscal “SAT”.","https://drive.google.com/file/d/13g6qhN8g382UDM03TH49nvo5nMka50TI/view?usp=sharing","Vespertino",00:01:02,"Azucena","Radio","Blu fm","organismos autonomos","leon",NA,2022-06-03 21:39:54
"549",2022-06-03 21:39:54,2022-06-03,"La alcaldesa Alejandra Gutiérrez afirmó que estarán siguiendo los recursos para que el tema de observaciones hechas a la academia metropolitana quede aclarado con la autoridad fiscal “SAT”.","https://drive.google.com/file/d/13g6qhN8g382UDM03TH49nvo5nMka50TI/view?usp=sharing","Vespertino",00:01:02,"Azucena","Radio","Blu fm","organismos autonomos"," sat",NA,2022-06-03 21:39:54
